# NK-Инжиниринг (196 bundle) — канонический title_zone.py (corruption-tolerant + OCR-on-suspect, pp87-checker@локально 46477d5) по DocSpectrum NK exports. DocSpectrum-владение (переживает Checker export_all реген, который покрывает только Checker-корпус). Джойн по crc32 (DEC-006). Делимитер ;.
crc32;file_name;cover_pages;title_anchor_pages;anomaly;confidence
29cea7f4;СМ ЛЕН34 6.8.pdf;1-2;"1;2";;high
d9dec1fd;СМ ЛЕН3А 6.8.pdf;1-2;"1;2";;high
a4f6f0f0;СМ МОЛ7 6.8.pdf;1-2;"1;2";;high
8caf51df;СМ НО37 7.7.pdf;1-2;"1;2";;high
c5177e02;СМ ЦЕН160К5.pdf;1-2;"1;2";;high
26c1f2d9;СМ ЦЕН160К6.pdf;1-2;"1;2";;high
4a00ecf2;СМ ЧЕР21 7.7.pdf;1-2;"1;2";;high
d30fc7f6;СМ ЧЕР29.pdf;1-2;"1;2";;high
a0674bdd;СМ ЧЕР31 7.7.pdf;1-2;"1;2";;high
71202ef8;СМ ЧЕР32 7.7.pdf;1-2;"1;2";;high
d14a7143;СМ ЭНГ31 7.7.pdf;1-2;"1;2";;high
